Input,Result,Log_prob
"In 2001, I spoke to the American people and set forth a new policy on stem cell research that struck a balance between the needs of science and the demands of conscience. When I took office, there was no federal funding for human embryonic stem cell research. Under the policy I announced five years ago, my administration became the first to make federal funds available for this research, yet only on embryonic stem cell lines derived from embryos that had already been destroyed.",no,no+;+-0.06622510403394699
"Americans who have lost their jobs need our help, and I support extending unemployment benefits and direct assistance for health care coverage. Yet, American workers want more than unemployment checks; they want a steady paycheck. When America works, America prospers, so my economic security plan can be summed up in one word: jobs.",no,no+;+-0.053534917533397675
"Our own generation is in a long war against a determined enemy, a war that will be fought by Presidents of both parties, who will need steady bipartisan support from the Congress. And tonight I ask for yours. Together, let us protect our country, support the men and women who defend us, and lead this world toward freedom.",yes,yes+;+-0.9744516015052795
"The times in which we live and work are changing dramatically. The workers of our parents' generation typically had one job, one skill, one career, often with one company that provided health care and a pension. And most of those workers were men. Today, workers change jobs, even careers, many times during their lives, and in one of the most dramatic shifts our society has seen, two-thirds of all moms also work outside the home.",no,no+;+-0.011053952388465405
"Good morning. For years, America's automakers have faced serious challenges -- burdensome costs, a shrinking share of the market, and declining profits. In recent months, the global financial crisis has made these challenges even more severe. Now some U. S. auto executives say that their companies are nearing collapse -- and that the only way they can buy time to restructure is with help from the federal government.",no,no+;+-0.011515305377542973
"The United Nations has imposed sanctions on Iran and made it clear that the world will not allow the regime in Tehran to acquire nuclear weapons. With the other members of the Quartet--the U. N., the EU, and Russia--we're pursuing diplomacy to help bring peace to the Holy Land and pursuing the establishment of a democratic Palestinian state living side by side with Israel in peace and security. In Afghanistan, NATO has taken the lead in turning back the Taliban and Al Qaeda offensive--the first time the Alliance has deployed forces outside the North Atlantic area. Together with our partners in China and Japan, Russia and South Korea, we're pursuing intensive diplomacy to achieve a Korean Peninsula free of nuclear weapons.",no,no+;+-0.10030641406774521
"Along the way, our troops added new chapters to the story of American military heroism. During these first weeks of battle, Army Sergeant First Class Paul Ray Smith and his troops came under a surprise attack by about a hundred Republican Guard forces. Sergeant Smith rallied his men. He led a counterattack, killing as many as 50 enemy soldiers before being fatally wounded. His actions saved the lives of more than a hundred American troops and earned him the Medal of Honor.",no,no+;+-0.010914946906268597
"The dictator who is assembling the world's most dangerous weapons has already used them on whole villages, leaving thousands of his own citizens dead, blind, or disfigured. Iraqi refugees tell us how forced confessions are obtained, by torturing children while their parents are made to watch. International human rights groups have cataloged other methods used in the torture chambers of Iraq: electric shock, burning with hot irons, dripping acid on the skin, mutilation with electric drills, cutting out tongues, and rape. If this is not evil, then evil has no meaning.",no,no+;+-0.0019316127290949225
"As long as there are secular alternatives, faith-based charities should be able to compete for funding on an equal basis, and in a manner that does not cause them to sacrifice their mission. And we will make sure that help goes to large organizations and to small ones as well. We value large organizations with generations of experience. We also value neighborhood healers, who have only the scars and testimony of their own experience.",no,no+;+-0.03705542907118797
"Historians in the future will reflect on an extraordinary, undeniable fact: Over time, free nations grow stronger and dictatorships grow weaker. In the middle of the 20th century, some imagined that the central planning and social regimentation were a shortcut to national strength. In fact, the prosperity, and social vitality and technological progress of a people are directly determined by extent of their liberty. Freedom honors and unleashes human creativity -- and creativity determines the strength and wealth of nations. Liberty is both the plan of Heaven for humanity, and the best hope for progress here on Earth.",yes,yes+;+-0.25646284222602844
"The Border Patrol is really an important agency. I know some people are wondering whether or not it makes sense to join the Border Patrol. My answer is, I've gotten to know the Border Patrol, I know the people serving in this fine agency -- I would strongly urge our fellow citizens to take a look at this profession. You're outdoors, you're working with good people, and you're making a solid contribution to the United States of America. And I want to thank you all for wearing the uniform and doing the tough work necessary, the work that the American people expect you to do.",yes,yes+;+-1.9393404722213745
"While the enemy is still dangerous and more work remains, the American and Iraqi surges have achieved results few of us could have imagined just one year ago. When we met last year, many said that containing the violence was impossible. A year later, high-profile terrorist attacks are down, civilian deaths are down, sectarian killings are down.",no,no+;+-0.8439095616340637
"Inside the United States, where the war began, we must continue to give our homeland security and law enforcement personnel every tool they need to defend us. And one of those essential tools is the PATRIOT Act, which allows federal law enforcement to better share information to track terrorists, to disrupt their cells, and to seize their assets. For years, we have used similar provisions to catch embezzlers and drug traffickers. If these methods are good for hunting criminals, they are even more important for hunting terrorists.",no,no+;+-0.2600823938846588
"Events can turn in one of two ways: If we fail to act in the face of danger, the people of Iraq will continue to live in brutal submission. The regime will have new power to bully and dominate and conquer its neighbors, condemning the Middle East to more years of bloodshed and fear. The regime will remain unstable -- the region will remain unstable, with little hope of freedom, and isolated from the progress of our times. With every step the Iraqi regime takes toward gaining and deploying the most terrible weapons, our own options to confront that regime will narrow. And if an emboldened regime were to supply these weapons to terrorist allies, then the attacks of September the 11th would be a prelude to far greater horrors.",yes,yes+;+-0.0643920972943306
"We will make wider use of electronic records and other health information technology, to help control costs and reduce dangerous medical errors. We will strengthen health savings accounts, making sure individuals and small-business employees can buy insurance with the same advantages that people working for big businesses now get. We will do more to make this coverage portable, so workers can switch jobs without having to worry about losing their health insurance. And because lawsuits are driving many good doctors out of practice, leaving women in nearly 1,500 American counties without a single OB-GYN, I ask the Congress to pass medical liability reform this year.",no,no+;+-0.2014915943145752
"As changes come to the Middle Eastern region, those with power should ask themselves: Will they be remembered for resisting reform, or for leading it? In Iran, the demand for democracy is strong and broad, as we saw last month when thousands gathered to welcome home Shirin Ebadi, the winner of the Nobel Peace Prize. The regime in Teheran must heed the democratic demands of the Iranian people, or lose its last claim to legitimacy.",no,no+;+-0.003115680068731308
My second proposal is to help the states that are coming up with innovative ways to cover the uninsured. States that make basic private health insurance available to all their citizens should receive federal funds to help them provide this coverage to the poor and the sick. I have asked the Secretary of Health and Human Services to work with Congress to take existing federal funds and use them to create Affordable Choices grants. These grants would give our nation's Governors more money and more flexibility to get private health insurance to those most in need.,no,no+;+-0.05457418039441109
"And, today, we are called to defend freedom against ruthless enemies. And, once again, we need steadfastness, courage and hope. The war against terror will be long. And as George Marshall so clearly understood, it will not be enough to make the world safer. We must also work to make the world better.",yes,yes+;+-0.834400475025177
"The United States made military and moral commitments in Europe and Asia, which protected free nations from aggression, and created the conditions in which new democracies could flourish. As we provided security for whole nations, we also provided inspiration for oppressed peoples. In prison camps, in banned union meetings, in clandestine churches, men and women knew that the whole world was not sharing their own nightmare. They knew of at least one place -- a bright and hopeful land -- where freedom was valued and secure. And they prayed that America would not forget them, or forget the mission to promote liberty around the world.",yes,yes+;+-0.022224776446819305
"The Iraqis launched a surge of their own. In the fall of 2006, Sunni tribal leaders grew tired of Al Qaeda's brutality, started a popular uprising called the ""Anbar Awakening."" Over the past year, similar movements have spread across the country. And today, the grassroots surge includes more than 80,000 Iraqi citizens who are fighting the terrorists. The government in Baghdad has stepped forward as well, adding more than 100,000 new Iraqi soldiers and police during the past year.",no,no+;+-0.011242342181503773
"Since I announced my policy in 2001, advances in scientific research have also shown the great potential of stem cells that are derived without harming human embryos. My administration has expanded the funding of research into stem cells that can be drawn from children, adults, and the blood in umbilical cords, with no harm to the donor. And these stem cells are already being used in medical treatments.",no,no+;+-0.12840445339679718
"Achieving these ambitious goals will dramatically reduce our dependence on foreign oil, but it's not going to eliminate it. And so as we continue to diversify our fuel supply, we must step up domestic oil production in environmentally sensitive ways. And to further protect America against severe disruptions to our oil supply, I ask Congress to double the current capacity of the Strategic Petroleum Reserve.",no,no+;+-0.037061985582113266
"These trials have also reminded us that we are often stronger than we know -- with the help of grace and one another. They remind us of a hope beyond all pain and death, a God who welcomes the lost to a house not made with hands. And they remind us that we're tied together in this life, in this nation -- and that the despair of any touches us all.",no,no+;+-0.002479104558005929
"The United States already contributes approximately a billion dollars a year to international efforts to combat HIV/AIDS. In addition, we plan to spend more than $2.5 billion on research and development for new drugs and new treatments. We've committed $500 million to the Global Fund to Fight AIDS and other infectious diseases, and we stand ready to commit more as this fund demonstrates its success.",no,no+;+-0.05334924906492233
"For too long our culture has said, ""If it feels good, do it."" Now America is embracing a new ethic and a new creed, ""Let's roll."" In the sacrifice of soldiers, the fierce brotherhood of firefighters, and the bravery and generosity of ordinary citizens, we have glimpsed what a new culture of responsibility could look like. We want to be a nation that serves goals larger than self. We've been offered a unique opportunity, and we must not let this moment pass.",no,no+;+-1.5143154859542847
"At this second gathering, our duties are defined not by the words I use but by the history we have seen together. For a half a century, America defended our own freedom by standing watch on distant borders. After the shipwreck of communism came years of relative quiet, years of repose, years of sabbatical, and then there came a day of fire.",no,no+;+-0.010977786965668201
